x Xe ne tau dtaudx ddtauddx g dgdx ddgddx 
-10.8053 1 3.01491e+13 10417.9 -11423.7 11792.5 0 0 0 
-10.8042 1 3.00498e+13 10405.3 -11410.8 11779.5 0 0 0 
-10.8031 1 2.99508e+13 10392.8 -11397.8 11766.5 0 0 0 
-10.802 1 2.98521e+13 10380.3 -11384.9 11753.5 0 0 0 
-10.8009 1 2.97537e+13 10367.8 -11371.9 11740.6 0 0 0 
-10.7998 1 2.96557e+13 10355.3 -11359 11727.6 0 0 0 
-10.7987 1 2.9558e+13 10342.8 -11346.1 11714.7 0 0 0 
-10.7976 1 2.94606e+13 10330.3 -11333.3 11701.8 0 0 0 
-10.7965 1 2.93635e+13 10317.8 -11320.4 11688.9 0 0 0 
-10.7954 1 2.92668e+13 10305.4 -11307.5 11676 0 0 0 
-10.7943 1 2.91703e+13 10292.9 -11294.7 11663.1 0 0 0 
-10.7932 1 2.90742e+13 10280.5 -11281.9 11650.2 0 0 0 
-10.7921 1 2.89784e+13 10268.1 -11269.1 11637.4 0 0 0 
-10.791 1 2.8883e+13 10255.7 -11256.3 11624.5 0 0 0 
-10.7899 1 2.87878e+13 10243.4 -11243.5 11611.7 0 0 0 
-10.7888 1 2.86929e+13 10231 -11230.7 11598.9 0 0 0 
-10.7877 1 2.85984e+13 10218.6 -11218 11586.1 0 0 0 
-10.7866 1 2.85042e+13 10206.3 -11205.2 11573.3 0 0 0 
-10.7855 1 2.84102e+13 10194 -11192.5 11560.6 0 0 0 
-10.7844 1 2.83166e+13 10181.7 -11179.8 11547.8 0 0 0 
-10.7833 1 2.82233e+13 10169.4 -11167.1 11535.1 0 0 0 
-10.7822 1 2.81303e+13 10157.1 -11154.4 11522.4 0 0 0 
-10.7811 1 2.80377e+13 10144.9 -11141.8 11509.7 0 0 0 
-10.78 1 2.79453e+13 10132.6 -11129.1 11497 0 0 0 
-10.7789 1 2.78532e+13 10120.4 -11116.5 11484.3 0 0 0 
-10.7778 1 2.77614e+13 10108.1 -11103.8 11471.6 0 0 0 
-10.7767 1 2.767e+13 10095.9 -11091.2 11459 0 0 0 
-10.7756 1 2.75788e+13 10083.7 -11078.6 11446.3 0 0 0 
-10.7745 1 2.74879e+13 10071.6 -11066 11433.7 0 0 0 
-10.7734 1 2.73973e+13 10059.4 -11053.5 11421.1 0 0 0 
-10.7723 1 2.73071e+13 10047.2 -11040.9 11408.5 0 0 0 
-10.7712 1 2.72171e+13 10035.1 -11028.4 11395.9 0 0 0 
-10.7701 1 2.71274e+13 10023 -11015.8 11383.3 0 0 0 
-10.769 1 2.7038e+13 10010.9 -11003.3 11370.8 0 0 0 
-10.7679 1 2.6949e+13 9998.77 -10990.8 11358.2 0 0 0 
-10.7668 1 2.68602e+13 9986.68 -10978.3 11345.7 0 0 0 
-10.7657 1 2.67717e+13 9974.61 -10965.8 11333.2 0 0 0 
-10.7646 1 2.66835e+13 9962.55 -10953.4 11320.7 0 0 0 
-10.7635 1 2.65955e+13 9950.51 -10940.9 11308.2 0 0 0 
-10.7624 1 2.65079e+13 9938.48 -10928.5 11295.7 0 0 0 
-10.7613 1 2.64206e+13 9926.47 -10916.1 11283.3 0 0 0 
-10.7602 1 2.63335e+13 9914.46 -10903.7 11270.8 0 0 0 
-10.7591 1 2.62467e+13 9902.48 -10891.3 11258.4 0 0 0 
-10.758 1 2.61603e+13 9890.5 -10878.9 11246 0 0 0 
-10.7569 1 2.60741e+13 9878.54 -10866.5 11233.6 0 0 0 
-10.7558 1 2.59882e+13 9866.59 -10854.2 11221.2 0 0 0 
-10.7547 1 2.59025e+13 9854.66 -10841.9 11208.8 0 0 0 
-10.7536 1 2.58172e+13 9842.74 -10829.5 11196.4 0 0 0 
-10.7525 1 2.57321e+13 9830.83 -10817.2 11184.1 0 0 0 
-10.7514 1 2.56473e+13 9818.94 -10804.9 11171.7 0 0 0 
-10.7503 1 2.55628e+13 9807.06 -10792.6 11159.4 0 0 0 
-10.7492 1 2.54786e+13 9795.19 -10780.4 11147.1 0 0 0 
-10.7481 1 2.53947e+13 9783.34 -10768.1 11134.8 0 0 0 
-10.747 1 2.5311e+13 9771.5 -10755.9 11122.5 0 0 0 
-10.7459 1 2.52276e+13 9759.67 -10743.6 11110.2 0 0 0 
-10.7448 1 2.51445e+13 9747.86 -10731.4 11098 0 0 0 
-10.7437 1 2.50616e+13 9736.06 -10719.2 11085.7 0 0 0 
-10.7426 1 2.4979e+13 9724.28 -10707 11073.5 0 0 0 
-10.7415 1 2.48967e+13 9712.5 -10694.9 11061.3 0 0 0 
-10.7404 1 2.48147e+13 9700.75 -10682.7 11049.1 0 0 0 
-10.7393 1 2.47329e+13 9689 -10670.6 11036.9 0 0 0 
-10.7382 1 2.46514e+13 9677.27 -10658.4 11024.7 0 0 0 
-10.7371 1 2.45702e+13 9665.55 -10646.3 11012.6 0 0 0 
-10.736 1 2.44893e+13 9653.84 -10634.2 11000.4 0 0 0 
-10.7349 1 2.44086e+13 9642.15 -10622.1 10988.3 0 0 0 
-10.7338 1 2.43282e+13 9630.47 -10610 10976.2 0 0 0 
-10.7327 1 2.4248e+13 9618.81 -10597.9 10964 0 0 0 
-10.7316 1 2.41681e+13 9607.15 -10585.9 10951.9 0 0 0 
-10.7305 1 2.40885e+13 9595.52 -10573.8 10939.9 0 0 0 
-10.7294 1 2.40091e+13 9583.89 -10561.8 10927.8 0 0 0 
-10.7283 1 2.393e+13 9572.28 -10549.8 10915.7 0 0 0 
-10.7272 1 2.38511e+13 9560.68 -10537.8 10903.7 0 0 0 
-10.7261 1 2.37726e+13 9549.09 -10525.8 10891.7 0 0 0 
-10.725 1 2.36942e+13 9537.52 -10513.8 10879.6 0 0 0 
-10.7239 1 2.36162e+13 9525.96 -10501.9 10867.6 0 0 0 
-10.7228 1 2.35384e+13 9514.41 -10489.9 10855.7 0 0 0 
-10.7217 1 2.34608e+13 9502.88 -10478 10843.7 0 0 0 
-10.7206 1 2.33835e+13 9491.36 -10466.1 10831.7 0 0 0 
-10.7195 1 2.33064e+13 9479.85 -10454.2 10819.8 0 0 0 
-10.7184 1 2.32297e+13 9468.36 -10442.3 10807.8 0 0 0 
-10.7173 1 2.31531e+13 9456.88 -10430.4 10795.9 0 0 0 
-10.7162 1 2.30768e+13 9445.41 -10418.5 10784 0 0 0 
-10.7151 1 2.30008e+13 9433.95 -10406.6 10772.1 0 0 0 
-10.714 1 2.2925e+13 9422.51 -10394.8 10760.2 0 0 0 
-10.7129 1 2.28495e+13 9411.08 -10383 10748.3 0 0 0 
-10.7118 1 2.27742e+13 9399.67 -10371.2 10736.5 0 0 0 
-10.7107 1 2.26991e+13 9388.26 -10359.4 10724.6 0 0 0 
-10.7096 1 2.26244e+13 9376.87 -10347.6 10712.8 0 0 0 
-10.7085 1 2.25498e+13 9365.5 -10335.8 10701 0 0 0 
-10.7074 1 2.24755e+13 9354.13 -10324 10689.2 0 0 0 
-10.7063 1 2.24015e+13 9342.78 -10312.3 10677.4 0 0 0 
-10.7052 1 2.23276e+13 9331.44 -10300.5 10665.6 0 0 0 
-10.7041 1 2.22541e+13 9320.12 -10288.8 10653.8 0 0 0 
-10.703 1 2.21808e+13 9308.81 -10277.1 10642 0 0 0 
-10.7019 1 2.21077e+13 9297.51 -10265.4 10630.3 0 0 0 
-10.7008 1 2.20348e+13 9286.22 -10253.7 10618.6 0 0 0 
-10.6997 1 2.19622e+13 9274.95 -10242 10606.9 0 0 0 
-10.6986 1 2.18899e+13 9263.68 -10230.4 10595.1 0 0 0 
-10.6975 1 2.18177e+13 9252.44 -10218.7 10583.5 0 0 0 
-10.6964 1 2.17459e+13 9241.2 -10207.1 10571.8 0 0 0 
-10.6953 1 2.16742e+13 9229.98 -10195.4 10560.1 0 0 0 
-10.6942 1 2.16028e+13 9218.77 -10183.8 10548.5 0 0 0 
-10.6931 1 2.15316e+13 9207.57 -10172.2 10536.8 0 0 0 
-10.692 1 2.14607e+13 9196.39 -10160.7 10525.2 0 0 0 
-10.6909 1 2.139e+13 9185.22 -10149.1 10513.6 0 0 0 
-10.6898 1 2.13195e+13 9174.06 -10137.5 10502 0 0 0 
-10.6887 1 2.12492e+13 9162.91 -10126 10490.4 0 0 0 
-10.6876 1 2.11792e+13 9151.78 -10114.4 10478.8 0 0 0 
-10.6865 1 2.11094e+13 9140.66 -10102.9 10467.2 0 0 0 
-10.6854 1 2.10399e+13 9129.55 -10091.4 10455.7 0 0 0 
-10.6843 1 2.09706e+13 9118.45 -10079.9 10444.1 0 0 0 
-10.6832 1 2.09015e+13 9107.37 -10068.4 10432.6 0 0 0 
-10.6821 1 2.08326e+13 9096.3 -10057 10421.1 0 0 0 
-10.681 1 2.0764e+13 9085.24 -10045.5 10409.6 0 0 0 
