z dL
4.7176 1.41924e+27 
4.71531 1.41841e+27 
4.71302 1.41757e+27 
4.71074 1.41674e+27 
4.70845 1.4159e+27 
4.70617 1.41507e+27 
4.70389 1.41424e+27 
4.70161 1.4134e+27 
4.69933 1.41257e+27 
4.69705 1.41174e+27 
4.69477 1.41091e+27 
4.69249 1.41008e+27 
4.69021 1.40924e+27 
4.68794 1.40841e+27 
4.68566 1.40758e+27 
4.68339 1.40675e+27 
4.68111 1.40593e+27 
4.67884 1.4051e+27 
4.67657 1.40427e+27 
4.6743 1.40344e+27 
4.67203 1.40261e+27 
4.66976 1.40179e+27 
4.66749 1.40096e+27 
4.66523 1.40013e+27 
4.66296 1.39931e+27 
4.6607 1.39848e+27 
4.65843 1.39765e+27 
4.65617 1.39683e+27 
4.65391 1.39601e+27 
4.65164 1.39518e+27 
4.64938 1.39436e+27 
4.64712 1.39353e+27 
4.64486 1.39271e+27 
4.64261 1.39189e+27 
4.64035 1.39107e+27 
4.63809 1.39025e+27 
4.63584 1.38942e+27 
4.63358 1.3886e+27 
4.63133 1.38778e+27 
4.62908 1.38696e+27 
4.62683 1.38614e+27 
4.62458 1.38532e+27 
4.62233 1.3845e+27 
4.62008 1.38369e+27 
4.61783 1.38287e+27 
4.61558 1.38205e+27 
4.61334 1.38123e+27 
4.61109 1.38042e+27 
4.60885 1.3796e+27 
4.6066 1.37878e+27 
4.60436 1.37797e+27 
4.60212 1.37715e+27 
4.59988 1.37634e+27 
4.59764 1.37552e+27 
4.5954 1.37471e+27 
4.59316 1.37389e+27 
4.59092 1.37308e+27 
4.58869 1.37227e+27 
4.58645 1.37146e+27 
4.58422 1.37064e+27 
4.58198 1.36983e+27 
4.57975 1.36902e+27 
4.57752 1.36821e+27 
4.57529 1.3674e+27 
4.57306 1.36659e+27 
4.57083 1.36578e+27 
4.5686 1.36497e+27 
4.56637 1.36416e+27 
4.56414 1.36335e+27 
4.56192 1.36254e+27 
4.55969 1.36173e+27 
4.55747 1.36093e+27 
4.55525 1.36012e+27 
4.55303 1.35931e+27 
4.5508 1.35851e+27 
4.54858 1.3577e+27 
4.54636 1.3569e+27 
4.54415 1.35609e+27 
4.54193 1.35529e+27 
4.53971 1.35448e+27 
4.5375 1.35368e+27 
4.53528 1.35287e+27 
4.53307 1.35207e+27 
4.53085 1.35127e+27 
4.52864 1.35046e+27 
4.52643 1.34966e+27 
4.52422 1.34886e+27 
4.52201 1.34806e+27 
4.5198 1.34726e+27 
4.51759 1.34646e+27 
4.51539 1.34566e+27 
4.51318 1.34486e+27 
4.51097 1.34406e+27 
4.50877 1.34326e+27 
4.50657 1.34246e+27 
4.50436 1.34166e+27 
4.50216 1.34087e+27 
4.49996 1.34007e+27 
4.49776 1.33927e+27 
4.49556 1.33847e+27 
4.49336 1.33768e+27 
4.49117 1.33688e+27 
4.48897 1.33609e+27 
4.48677 1.33529e+27 
4.48458 1.3345e+27 
4.48239 1.3337e+27 
4.48019 1.33291e+27 
4.478 1.33211e+27 
4.47581 1.33132e+27 
4.47362 1.33053e+27 
4.47143 1.32974e+27 
4.46924 1.32894e+27 
4.46705 1.32815e+27 
4.46487 1.32736e+27 
4.46268 1.32657e+27 
4.4605 1.32578e+27 
4.45831 1.32499e+27 
4.45613 1.3242e+27 
4.45395 1.32341e+27 
4.45176 1.32262e+27 
4.44958 1.32183e+27 
4.4474 1.32104e+27 
4.44522 1.32026e+27 
4.44305 1.31947e+27 
4.44087 1.31868e+27 
4.43869 1.31789e+27 
4.43652 1.31711e+27 
4.43434 1.31632e+27 
4.43217 1.31554e+27 
4.43 1.31475e+27 
4.42782 1.31397e+27 
4.42565 1.31318e+27 
4.42348 1.3124e+27 
4.42131 1.31161e+27 
4.41914 1.31083e+27 
4.41698 1.31005e+27 
4.41481 1.30927e+27 
4.41264 1.30848e+27 
4.41048 1.3077e+27 
4.40832 1.30692e+27 
4.40615 1.30614e+27 
4.40399 1.30536e+27 
4.40183 1.30458e+27 
4.39967 1.3038e+27 
4.39751 1.30302e+27 
4.39535 1.30224e+27 
4.39319 1.30146e+27 
4.39103 1.30068e+27 
4.38888 1.2999e+27 
4.38672 1.29913e+27 
4.38457 1.29835e+27 
4.38241 1.29757e+27 
4.38026 1.2968e+27 
4.37811 1.29602e+27 
4.37596 1.29524e+27 
4.37381 1.29447e+27 
4.37166 1.29369e+27 
4.36951 1.29292e+27 
4.36736 1.29214e+27 
4.36521 1.29137e+27 
4.36307 1.2906e+27 
4.36092 1.28982e+27 
4.35878 1.28905e+27 
4.35663 1.28828e+27 
4.35449 1.28751e+27 
4.35235 1.28674e+27 
4.35021 1.28596e+27 
4.34807 1.28519e+27 
4.34593 1.28442e+27 
4.34379 1.28365e+27 
4.34165 1.28288e+27 
4.33952 1.28211e+27 
4.33738 1.28134e+27 
4.33525 1.28058e+27 
4.33311 1.27981e+27 
4.33098 1.27904e+27 
4.32885 1.27827e+27 
4.32671 1.2775e+27 
4.32458 1.27674e+27 
4.32245 1.27597e+27 
4.32032 1.27521e+27 
4.3182 1.27444e+27 
4.31607 1.27367e+27 
4.31394 1.27291e+27 
4.31182 1.27215e+27 
4.30969 1.27138e+27 
4.30757 1.27062e+27 
4.30545 1.26985e+27 
4.30332 1.26909e+27 
4.3012 1.26833e+27 
4.29908 1.26757e+27 
4.29696 1.2668e+27 
4.29484 1.26604e+27 
4.29273 1.26528e+27 
4.29061 1.26452e+27 
4.28849 1.26376e+27 
4.28638 1.263e+27 
4.28426 1.26224e+27 
4.28215 1.26148e+27 
4.28004 1.26072e+27 
4.27792 1.25996e+27 
4.27581 1.2592e+27 
4.2737 1.25845e+27 
4.27159 1.25769e+27 
4.26948 1.25693e+27 
4.26738 1.25617e+27 
4.26527 1.25542e+27 
4.26316 1.25466e+27 
4.26106 1.25391e+27 
4.25895 1.25315e+27 
4.25685 1.2524e+27 
4.25475 1.25164e+27 
4.25264 1.25089e+27 
4.25054 1.25013e+27 
4.24844 1.24938e+27 
4.24634 1.24863e+27 
4.24425 1.24787e+27 
4.24215 1.24712e+27 
4.24005 1.24637e+27 
4.23796 1.24562e+27 
4.23586 1.24487e+27 
4.23377 1.24412e+27 
4.23167 1.24337e+27 
4.22958 1.24262e+27 
4.22749 1.24187e+27 
4.2254 1.24112e+27 
4.22331 1.24037e+27 
4.22122 1.23962e+27 
