z dL
4.1548 1.18754e+27 
4.15274 1.18685e+27 
4.15068 1.18615e+27 
4.14861 1.18546e+27 
4.14656 1.18476e+27 
4.1445 1.18407e+27 
4.14244 1.18337e+27 
4.14038 1.18268e+27 
4.13833 1.18199e+27 
4.13627 1.18129e+27 
4.13422 1.1806e+27 
4.13216 1.17991e+27 
4.13011 1.17921e+27 
4.12806 1.17852e+27 
4.12601 1.17783e+27 
4.12396 1.17714e+27 
4.12191 1.17645e+27 
4.11986 1.17576e+27 
4.11781 1.17507e+27 
4.11576 1.17438e+27 
4.11372 1.17369e+27 
4.11167 1.173e+27 
4.10963 1.17231e+27 
4.10758 1.17162e+27 
4.10554 1.17093e+27 
4.1035 1.17024e+27 
4.10146 1.16956e+27 
4.09941 1.16887e+27 
4.09738 1.16818e+27 
4.09534 1.1675e+27 
4.0933 1.16681e+27 
4.09126 1.16612e+27 
4.08922 1.16544e+27 
4.08719 1.16475e+27 
4.08515 1.16407e+27 
4.08312 1.16338e+27 
4.08109 1.1627e+27 
4.07905 1.16201e+27 
4.07702 1.16133e+27 
4.07499 1.16065e+27 
4.07296 1.15996e+27 
4.07093 1.15928e+27 
4.0689 1.1586e+27 
4.06688 1.15791e+27 
4.06485 1.15723e+27 
4.06282 1.15655e+27 
4.0608 1.15587e+27 
4.05877 1.15519e+27 
4.05675 1.15451e+27 
4.05473 1.15383e+27 
4.05271 1.15315e+27 
4.05069 1.15247e+27 
4.04866 1.15179e+27 
4.04665 1.15111e+27 
4.04463 1.15043e+27 
4.04261 1.14975e+27 
4.04059 1.14907e+27 
4.03858 1.1484e+27 
4.03656 1.14772e+27 
4.03455 1.14704e+27 
4.03253 1.14636e+27 
4.03052 1.14569e+27 
4.02851 1.14501e+27 
4.0265 1.14434e+27 
4.02448 1.14366e+27 
4.02247 1.14298e+27 
4.02047 1.14231e+27 
4.01846 1.14163e+27 
4.01645 1.14096e+27 
4.01444 1.14029e+27 
4.01244 1.13961e+27 
4.01043 1.13894e+27 
4.00843 1.13827e+27 
4.00643 1.13759e+27 
4.00442 1.13692e+27 
4.00242 1.13625e+27 
4.00042 1.13558e+27 
3.99842 1.13491e+27 
3.99642 1.13423e+27 
3.99442 1.13356e+27 
3.99242 1.13289e+27 
3.99043 1.13222e+27 
3.98843 1.13155e+27 
3.98644 1.13088e+27 
3.98444 1.13021e+27 
3.98245 1.12954e+27 
3.98045 1.12888e+27 
3.97846 1.12821e+27 
3.97647 1.12754e+27 
3.97448 1.12687e+27 
3.97249 1.1262e+27 
3.9705 1.12554e+27 
